,Company,Segment,Segment Description,text,Predicted
3774,aemetis inc.,Biodiesel Production,Produces and markets biodiesel and glycerin.,aemetis inc. Biodiesel Production Produces and markets biodiesel and glycerin.,Alternative Energy
3434,netease inc.,Online Games,"Develops and operates online PC and mobile games such as Fantasy Westward Journey, Westward Journey Online, and Ghost","netease inc. Online Games Develops and operates online PC and mobile games such as Fantasy Westward Journey, Westward Journey Online, and Ghost",Not Applicable
1030,auto1 group se,Wholesale,Operates an online used car trading platform that connects professional car dealers in Europe.,auto1 group se Wholesale Operates an online used car trading platform that connects professional car dealers in Europe.,Not Applicable
5599,just group plc,Care Solutions,Provides care fees planning and elderly care solutions,just group plc Care Solutions Provides care fees planning and elderly care solutions,Not Applicable
300,altria group inc.,Wine,"Produces and markets wine products under the Chateau Ste. Michelle, Columbia Crest and 14 Hands brands","altria group inc. Wine Produces and markets wine products under the Chateau Ste. Michelle, Columbia Crest and 14 Hands brands",Not Applicable
1472,townebank,Retail Banking,"Provides banking services for consumers including checking and savings accounts, mortgages, personal loans, credit cards, and more","townebank Retail Banking Provides banking services for consumers including checking and savings accounts, mortgages, personal loans, credit cards, and more",Not Applicable
283,kao corporation,Consumer Products,"Manufactures and sells consumer products including cosmetics, skin care, hair care, sanitary products, baby diapers, fabric care, and more under brands like BiorÃƒÂ©, Jergens, John Frieda, Kanebo, Laurier, and Merries.","kao corporation Consumer Products Manufactures and sells consumer products including cosmetics, skin care, hair care, sanitary products, baby diapers, fabric care, and more under brands like BiorÃƒÂ©, Jergens, John Frieda, Kanebo, Laurier, and Merries.",Not Applicable
2028,california resources corporation,Renewable Energy,"Invests in solar, wind, geothermal and other renewable energy projects in California to diversify and decarbonize their energy portfolio","california resources corporation Renewable Energy Invests in solar, wind, geothermal and other renewable energy projects in California to diversify and decarbonize their energy portfolio",Alternative Energy
3227,forum energy technologies inc.,Coiled Tubing,Designs and manufactures coiled tubing technologies and provides related services to the oil and gas industry.,forum energy technologies inc. Coiled Tubing Designs and manufactures coiled tubing technologies and provides related services to the oil and gas industry.,Energy Management & Efficiency
4446,abcellera biologics inc.,Infectious disease,"Identifies antibodies to treat viral, bacterial and parasitic infections","abcellera biologics inc. Infectious disease Identifies antibodies to treat viral, bacterial and parasitic infections",Not Applicable
5624,american assets trust inc.,Multifamily,"Owns and operates multifamily apartment communities in Texas, Oregon, and California.","american assets trust inc. Multifamily Owns and operates multifamily apartment communities in Texas, Oregon, and California.",Not Applicable
1813,netscout systems inc.,Business Analytics,Provides business intelligence and analytics solutions to help organizations gain operational intelligence.,netscout systems inc. Business Analytics Provides business intelligence and analytics solutions to help organizations gain operational intelligence.,Not Applicable
1271,lions gate entertainment corp.,Media Networks,Operates cable networks including Starz Networks and EPIX pay television networks.,lions gate entertainment corp. Media Networks Operates cable networks including Starz Networks and EPIX pay television networks.,Not Applicable
5990,community health systems inc.,Acute care hospitals,"Operates general acute care hospitals that provide inpatient care and related services for patients with short-term illnesses, injuries, or pregnancies.","community health systems inc. Acute care hospitals Operates general acute care hospitals that provide inpatient care and related services for patients with short-term illnesses, injuries, or pregnancies.",Not Applicable
